Angle (°),Distance (mm)
230.56,1115.50
232.25,1162.00
233.88,1217.00
236.91,1790.50
238.62,1885.25
240.27,1984.75
241.95,2115.50
245.17,3167.00
246.89,3127.25
248.59,3080.00
250.30,3044.00
252.03,3034.25
253.77,3002.00
255.50,3012.00
257.19,3011.50
258.95,2971.75
260.64,2967.50
262.38,2970.50
264.08,2967.50
265.78,2969.50
267.50,2999.25
269.23,2811.25
270.98,2809.50
280.27,0.00
274.42,2577.25
276.20,2591.75
277.95,2606.25
279.61,0.00
281.34,2911.25
283.02,3073.25
284.69,3140.75
286.44,3164.75
288.17,3204.50
289.86,3234.50
291.61,3283.50
293.30,3343.50
295.02,3394.50
296.73,3453.25
298.45,3527.75
300.05,3606.50
301.77,3528.50
303.47,3523.25
305.20,3430.75
306.92,3334.75
310.38,3067.25
312.12,2980.75
313.81,2926.00
315.56,2848.75
