Angle (°),Distance (mm)
83.91,1376.50
85.44,1430.50
86.72,2293.00
88.36,2357.00
90.03,2372.50
91.62,2482.25
93.25,2602.50
94.89,2738.25
96.53,0.00
98.52,0.00
100.23,1614.25
101.86,1624.00
103.50,1616.50
105.16,1600.00
106.86,1599.00
110.03,1595.25
111.66,1617.00
120.39,0.00
114.34,4786.50
115.98,4998.75
119.22,5374.75
120.92,5181.75
130.27,0.00
124.23,4805.25
125.86,4781.00
127.50,4857.50
129.17,4877.75
130.86,4984.50
132.53,5089.50
134.17,5017.00
135.83,4971.25
137.48,4988.75
139.11,4963.50
144.06,0.00
145.70,5307.75
157.36,4269.25
160.78,3226.25
164.14,3008.50
165.78,2921.75
168.05,1309.50
174.09,2583.25
175.75,2558.00
177.41,2660.75
178.98,2770.25
180.62,2842.50
197.17,2610.25
198.84,2550.00
200.48,2580.75
202.16,2447.25
203.86,2436.00
205.55,2427.75
207.17,2417.00
208.83,2340.50
210.50,2319.50
212.14,2325.00
213.83,2308.00
215.50,2290.75
217.14,2308.75
218.81,2248.75
220.45,2239.25
222.08,2282.75
223.72,2350.00
229.31,1091.00
231.06,0.00
232.72,1038.25
237.62,1122.00
239.20,0.00
241.88,2289.00
243.56,2167.00
245.19,2116.75
246.84,2157.50
248.52,2198.25
250.14,2246.75
251.80,2296.75
253.41,2348.75
255.05,2409.00
256.67,2473.00
258.31,2547.00
259.92,2621.00
261.58,2704.00
270.67,0.00
267.95,4163.00
269.61,4352.75
271.25,4463.50
274.59,4495.75
277.91,4400.00
281.20,4303.00
285.62,1011.25
295.47,0.00
289.50,3943.75
292.59,831.25
294.27,832.75
295.98,788.00
297.55,787.50
299.22,787.50
306.94,0.00
304.28,3518.50
306.81,0.00
310.44,905.50
312.00,971.50
313.62,975.25
315.30,995.00
316.86,1000.00
332.80,0.00
334.44,1691.50
336.12,1708.50
339.48,1535.75
341.20,1483.25
342.86,1501.25
344.48,1494.25
346.06,1526.50
352.72,1417.75
354.39,1366.75
357.62,0.00
359.30,1456.25
0.92,1503.75
2.55,1499.25
4.17,1488.25
5.88,1464.75
7.52,1444.00
9.17,1429.75
15.88,1359.00
17.55,1347.75
20.06,4611.25
21.72,4573.00
23.38,4543.25
25.02,4532.00
26.69,4512.00
28.19,0.00
29.86,7300.00
31.45,0.00
35.33,1943.50
37.06,1836.50
38.70,1738.50
40.41,1653.25
42.11,1576.75
43.80,1522.75
45.48,1447.25
47.17,1401.00
48.88,0.00
50.52,1352.25
59.14,0.00
53.86,1328.50
55.48,1336.50
57.08,0.00
65.52,1038.50
70.42,1074.00
72.00,1094.75
73.69,1126.50
75.22,1158.00
76.86,1190.50
78.44,1227.00
80.06,1270.25
81.70,1314.75
83.45,1363.00
85.03,1414.75
87.92,2358.75
89.53,2361.75
91.20,2446.00
92.83,2561.50
94.42,2698.50
96.06,2832.00
97.98,0.00
99.75,0.00
101.44,1611.00
103.03,1619.25
104.69,1603.25
106.41,1599.00
107.98,1601.25
109.59,1589.25
111.23,1617.75
113.89,4844.00
115.53,5001.25
120.45,5200.50
123.77,0.00
125.44,4795.00
127.06,4852.00
128.70,4868.75
130.44,4982.25
132.06,5084.00
133.72,5070.00
135.41,4939.25
137.02,5048.00
138.70,4971.50
140.31,4985.75
145.28,5275.50
156.94,4317.75
158.67,0.00
160.36,3260.75
163.66,3031.50
165.36,2924.75
167.66,1319.75
169.30,1311.25
170.86,1459.00
172.36,1614.75
173.66,2598.75
175.34,2536.00
176.94,2632.50
178.58,2738.50
180.22,2848.50
196.77,2615.00
198.44,2562.75
200.11,2565.50
201.73,2448.50
203.47,2438.50
205.11,2429.75
206.78,2420.25
208.44,2337.00
210.08,2328.00
211.73,2313.75
213.41,0.00
215.08,2283.00
216.73,2313.00
218.38,2262.50
220.03,2236.50
221.66,2266.75
223.33,2342.25
224.98,2313.75
234.00,0.00
228.91,1102.25
230.62,1110.50
232.38,1041.75
238.72,0.00
241.47,0.00
243.16,2193.75
244.83,2108.25
246.45,2146.50
248.11,2188.50
249.75,2236.00
251.36,2285.00
253.02,2337.75
254.64,2394.50
256.27,2460.50
257.92,2526.00
259.53,2602.25
261.17,2684.00
262.81,2773.50
264.38,0.00
269.23,4303.50
270.86,4445.25
274.17,4543.25
275.84,4472.75
277.52,4411.25
279.19,0.00
280.81,4311.50
285.27,1010.50
289.14,3947.00
292.11,831.50
293.91,833.25
295.55,790.25
297.25,786.75
298.78,787.25
300.44,789.25
302.05,836.50
303.92,3499.50
305.55,0.00
310.03,908.50
311.59,971.50
